"IND","A01","Cambridge Colleges","College Code|Description|Process Date"
"IND","B01","County Codes","County Code|Description|Process Date"
"IND","B03","Country Codes","Country Code|Description|EU Member|Process Date"
"IND","D01","Current UCAS Courses","Course Code|Description|Process Date"
"IND","D03","Current/Archived UCAS Courses","Course Code|Description|Process Date"
"IND","D05","Academic Careers","Acad Career|Description|Process Date"
"IND","D06","Academic Programs","Acad Program|Description|Acad Career|Process Date"
"IND","D07","Academic Plan Types","Acad Plan Type|Description|Process Date"
"IND","D08","Academic Plans","Acad Plan|Description|Acad Plan Type|Acad Program|Process Date"
"IND","F01","Awarding Bodies","Year|Sitting|Awarding Body|Description|Process Date"
"IND","F02","GCSE Subject Codes","Subject Code|Description|EBL Subject Code|Process Date"
"IND","H01","Subject (Tripos) Codes","Subject Code|Description|Department|Process Date"
"IND","H03","Examination Paper Codes","Subject|Catalog Number|Title|Process Date"
"IND","J01","Grading Codes","Grading Scheme|Grading Basis|Grading Code|Description|Process Date"
"IND","J02","Further to Class Codes","Subject|Further to Class Code|Description|Process Date"
"IND","K01","Degrees","Degree Code|Description|Short Description|Process Date"
"IND","M01","Faculties and Departments","Department Code|Description|Process Date"
"IND","S01","Source of Fees","Code|Description|Process Date"
"IND","Z02","Ethnicity Indicators","Ethnicity Code|Description|Process Date"
"IND","Z04","Disability Indicators","Disability Code|Description|Process Date"
"IND","Z05","Program Status Codes","Status Code|Description|Process Date"
"IND","Z06","Program Action Codes","Prog Action|Description|Process Date"
"IND","Z07","Program Reason Codes","Prog Action|Prog Reason|Description|Process Date"
"A01","CAI","Gonville and Caius College","01-JAN-19 01.00.00.000000 AM"
"A01","CC","Corpus Christi College","01-JAN-19 01.00.00.000000 AM"
"A01","CHR","Christ's College","01-JAN-19 01.00.00.000000 AM"
"A01","CHU","Churchill College","01-JAN-19 01.00.00.000000 AM"
"A01","CL","Clare College","01-JAN-19 01.00.00.000000 AM"
"A01","CLH","Clare Hall","01-JAN-19 01.00.00.000000 AM"
"A01","CTH","St Catharine's College","01-JAN-19 01.00.00.000000 AM"
"A01","DAR","Darwin College","01-JAN-19 01.00.00.000000 AM"
"A01","DOW","Downing College","01-JAN-19 01.00.00.000000 AM"
"A01","ED","St Edmund's College","01-JAN-19 01.00.00.000000 AM"
"A01","EM","Emmanuel College","01-JAN-19 01.00.00.000000 AM"
"A01","F","Fitzwilliam College","01-JAN-19 01.00.00.000000 AM"
"A01","G","Girton College","01-JAN-19 01.00.00.000000 AM"
"A01","HH","Hughes Hall","01-JAN-19 01.00.00.000000 AM"
"A01","HO","Homerton College","01-JAN-19 01.00.00.000000 AM"
"A01","JE","Jesus College","01-JAN-19 01.00.00.000000 AM"
"A01","JN","St John's College","01-JAN-19 01.00.00.000000 AM"
"A01","K","King's College","01-JAN-19 01.00.00.000000 AM"
"A01","LC","Lucy Cavendish College","01-JAN-19 01.00.00.000000 AM"
"A01","M","Magdalene College","01-JAN-19 01.00.00.000000 AM"
"A01","N","Newnham College","01-JAN-19 01.00.00.000000 AM"
"A01","NH","Murray Edwards College","14-JUN-20 11.00.00.000000 AM"
"A01","PEM","Pembroke College","01-JAN-19 01.00.00.000000 AM"
"A01","PET","Peterhouse","01-JAN-19 01.00.00.000000 AM"
"A01","POOL","Undergraduate Pool","01-JAN-19 01.00.00.000000 AM"
"A01","Q","Queens' College","01-JAN-19 01.00.00.000000 AM"
"A01","R","Robinson College","01-JAN-19 01.00.00.000000 AM"
"A01","SE","Selwyn College","01-JAN-19 01.00.00.000000 AM"
"A01","SID","Sidney Sussex College","01-JAN-19 01.00.00.000000 AM"
"A01","T","Trinity College","01-JAN-19 01.00.00.000000 AM"
"A01","TH","Trinity Hall","01-JAN-19 01.00.00.000000 AM"
"A01","W","Wolfson College","01-JAN-19 01.00.00.000000 AM"
"B01","ABC","Aberdeen City","03-FEB-20 12.00.00.000000 PM"
"B01","ABS","Aberdeenshire","03-FEB-20 12.00.00.000000 PM"
"B01","ANG","Angus","03-FEB-20 12.00.00.000000 PM"
"B01","ANT","Antrim","03-FEB-20 12.00.00.000000 PM"
"B01","ARD","Ards","03-FEB-20 12.00.00.000000 PM"
"B01","ARG","Argyll and Bute","03-FEB-20 12.00.00.000000 PM"
"B01","ARM","Armagh","03-FEB-20 12.00.00.000000 PM"
"B01","BEDS","Bedfordshire","03-FEB-20 12.00.00.000000 PM"
"B01","BERKS","Berkshire","03-FEB-20 12.00.00.000000 PM"
"B01","BFS","Belfast","03-FEB-20 12.00.00.000000 PM"
"B01","BLA","Ballymena","03-FEB-20 12.00.00.000000 PM"
"B01","BLY","Ballymoney","03-FEB-20 12.00.00.000000 PM"
"B01","BNB","Banbridge","03-FEB-20 12.00.00.000000 PM"
"B01","BORDER","Scottish Borders","03-FEB-20 12.00.00.000000 PM"
"B01","BRIST","Bristol","03-FEB-20 12.00.00.000000 PM"
"B01","BUCKS","Buckinghamshire","03-FEB-20 12.00.00.000000 PM"
"B01","CAMBS","Cambridgeshire","03-FEB-20 12.00.00.000000 PM"
"B01","CARM","Carmarthenshire","03-FEB-20 12.00.00.000000 PM"
"B01","CEB","City of Edinburgh","03-FEB-20 12.00.00.000000 PM"
"B01","CENT","Central Region","03-FEB-20 12.00.00.000000 PM"
"B01","CER","Ceredigion","03-FEB-20 12.00.00.000000 PM"
"B01","CFK","Carrickfergus","03-FEB-20 12.00.00.000000 PM"
"B01","CGV","Craigavon","03-FEB-20 12.00.00.000000 PM"
"B01","CHES","Cheshire","03-FEB-20 12.00.00.000000 PM"
"B01","CHL IS","Channel Is","03-FEB-20 12.00.00.000000 PM"
"B01","CKT","Cookstown","03-FEB-20 12.00.00.000000 PM"
"B01","CLEV","Cleveland","03-FEB-20 12.00.00.000000 PM"
"B01","CLR","Coleraine","03-FEB-20 12.00.00.000000 PM"
"B01","CLWYD","Clwyd","03-FEB-20 12.00.00.000000 PM"
"B01","CMS","Clackmannanshire","03-FEB-20 12.00.00.000000 PM"
"B01","CNWLL","Cornwall","03-FEB-20 12.00.00.000000 PM"
"B01","CSR","Castlereagh","03-FEB-20 12.00.00.000000 PM"
"B01","CUMB","Cumbria","03-FEB-20 12.00.00.000000 PM"
"B01","D&G","Dumfries & Galloway Region","03-FEB-20 12.00.00.000000 PM"
"B01","DDC","Dundee City","03-FEB-20 12.00.00.000000 PM"
"B01","DERBY","Derbyshire","03-FEB-20 12.00.00.000000 PM"
"B01","DEVON","Devon","03-FEB-20 12.00.00.000000 PM"
